Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
0.006666 -0.020463 0.733891 -0.554384 -1.406905 -3.963401 -10.035925 9.446332 -8.239553 -31.638884 
0.006704 0.190408 0.725989 -0.678264 -1.434010 -4.006668 -10.032617 9.476250 -8.211825 -31.635294 
0.006741 0.364197 0.672744 -0.786158 -1.450405 -4.049309 -10.029065 9.506138 -8.184090 -31.631683 
0.006778 0.475567 0.577955 -0.875685 -1.455705 -4.091318 -10.025270 9.535995 -8.156346 -31.628052 
0.006814 0.506074 0.447916 -0.944903 -1.449600 -4.132687 -10.021233 9.565824 -8.128595 -31.624399 
0.006850 0.439505 0.290930 -0.992327 -1.431872 -4.173409 -10.016952 9.595622 -8.100837 -31.620726 
0.006884 0.264185 0.116743 -1.016957 -1.402400 -4.213478 -10.012428 9.625390 -8.073071 -31.617033 
0.006918 -0.006110 -0.064047 -1.018285 -1.361177 -4.252884 -10.007662 9.655128 -8.045298 -31.613319 
0.006952 -0.269212 -0.240595 -0.996298 -1.308311 -4.291623 -10.002652 9.684835 -8.017517 -31.609585 
0.006984 -0.361813 -0.402380 -0.951481 -1.244039 -4.329687 -9.997400 9.714513 -7.989729 -31.605829 
0.007016 -0.286047 -0.539754 -0.884804 -1.168732 -4.367069 -9.991906 9.744160 -7.961934 -31.602053 
0.007046 -0.122271 -0.644442 -0.797713 -1.082893 -4.403763 -9.986170 9.773776 -7.934131 -31.598257 
0.007076 0.069598 -0.709990 -0.692108 -0.987161 -4.439761 -9.980191 9.803361 -7.906321 -31.594440 
0.007105 0.250199 -0.732151 -0.570317 -0.882305 -4.475058 -9.973970 9.832915 -7.878503 -31.590603 
0.007133 0.389235 -0.709185 -0.435060 -0.769217 -4.509647 -9.967507 9.862439 -7.850679 -31.586744 
0.007160 0.457587 -0.642050 -0.289402 -0.648901 -4.543521 -9.960802 9.891932 -7.822847 -31.582865 
0.007186 0.422725 -0.534453 -0.136705 -0.522454 -4.576675 -9.953856 9.921393 -7.795008 -31.578966 
0.007211 0.252886 -0.392740 0.019442 -0.391056 -4.609102 -9.946667 9.950824 -7.767161 -31.575047 
0.007236 -0.038462 -0.225585 0.175291 -0.255940 -4.640796 -9.939237 9.980223 -7.739308 -31.571106 
0.007260 -0.301189 -0.043496 0.327027 -0.118380 -4.671751 -9.931565 10.009590 -7.711447 -31.567146 
0.007283 -0.404793 0.141870 0.470858 0.020338 -4.701960 -9.923654 10.038926 -7.683579 -31.563166 
0.007305 -0.368339 0.318512 0.603117 0.158937 -4.731419 -9.915501 10.068231 -7.655705 -31.559164 
0.007326 -0.243019 0.474961 0.720367 0.296167 -4.760121 -9.907106 10.097504 -7.627823 -31.555141 
0.007347 -0.070618 0.601117 0.819506 0.430825 -4.788061 -9.898472 10.126744 -7.599935 -31.551100 
0.007367 0.115136 0.688977 0.897870 0.561773 -4.815233 -9.889597 10.155953 -7.572039 -31.547037 
0.007387 0.281715 0.733173 0.953323 0.687951 -4.841632 -9.880482 10.185130 -7.544136 -31.542953 
0.007406 0.390341 0.731281 0.984336 0.808385 -4.867253 -9.871127 10.214275 -7.516226 -31.538851 
0.007424 0.388764 0.683879 0.990038 0.922199 -4.892089 -9.861532 10.243388 -7.488310 -31.534727 
0.007442 0.221091 0.594402 0.970259 1.028616 -4.916137 -9.851698 10.272469 -7.460386 -31.530582 
0.007459 -0.076381 0.468802 0.925530 1.126963 -4.939390 -9.841624 10.301517 -7.432456 -31.526419 
0.007475 -0.326001 0.315090 0.857068 1.216667 -4.961844 -9.831311 10.330532 -7.404519 -31.522234 
0.007491 -0.446561 0.142794 0.766733 1.297257 -4.983495 -9.820759 10.359515 -7.376575 -31.518028 
0.007506 -0.448729 -0.037623 0.656960 1.368357 -5.004336 -9.809968 10.388466 -7.348624 -31.513803 
0.007520 -0.360269 -0.215344 0.530675 1.429683 -5.024364 -9.798939 10.417384 -7.320667 -31.509558 
0.007533 -0.207951 -0.379779 0.391194 1.481039 -5.043575 -9.787671 10.446269 -7.292703 -31.505291 
0.007545 -0.018303 -0.521111 0.242124 1.522307 -5.061963 -9.776165 10.475121 -7.264732 -31.501005 
0.007557 0.176444 -0.630807 0.087246 1.553443 -5.079525 -9.764421 10.503941 -7.236754 -31.496698 
0.007567 0.327656 -0.702089 -0.069586 1.574473 -5.096255 -9.752440 10.532726 -7.208770 -31.492371 
0.007577 0.356791 -0.730340 -0.224547 1.585480 -5.112151 -9.740222 10.561479 -7.180779 -31.488024 
0.007585 0.188553 -0.713430 -0.373937 1.586607 -5.127208 -9.727766 10.590198 -7.152782 -31.483656 
0.007593 -0.090239 -0.651935 -0.514259 1.578044 -5.141422 -9.715074 10.618883 -7.124778 -31.479269 
0.007599 -0.325795 -0.549218 -0.642293 1.560028 -5.154790 -9.702145 10.647535 -7.096767 -31.474861 
0.007605 -0.464152 -0.411331 -0.755154 1.532834 -5.167308 -9.688979 10.676154 -7.068749 -31.470432 
