Sol Mercurio Venus Tierra Marte Jupiter Saturno Urano Neptuno Pluton
-0.000101 -0.027312 0.017379 -0.000060 -0.020818 0.097711 0.146083 -0.191377 -0.494383 0.156756 
-0.000100 -0.005642 0.026784 -0.000056 -0.024340 0.096757 0.144107 -0.191041 -0.495131 0.148359 
-0.000098 0.016997 0.034512 -0.000054 -0.027676 0.095787 0.142128 -0.190703 -0.495879 0.139962 
-0.000097 0.036686 0.040105 -0.000053 -0.030798 0.094803 0.140146 -0.190365 -0.496625 0.131565 
-0.000095 0.049224 0.043242 -0.000053 -0.033674 0.093805 0.138160 -0.190027 -0.497372 0.123168 
-0.000094 0.049365 0.043754 -0.000053 -0.036277 0.092791 0.136171 -0.189688 -0.498118 0.114771 
-0.000092 0.031250 0.041632 -0.000055 -0.038577 0.091763 0.134178 -0.189348 -0.498863 0.106374 
-0.000091 -0.004170 0.037014 -0.000057 -0.040550 0.090720 0.132183 -0.189008 -0.499608 0.097976 
-0.000089 -0.037071 0.030183 -0.000060 -0.042172 0.089663 0.130184 -0.188667 -0.500353 0.089579 
-0.000087 -0.053088 0.021547 -0.000064 -0.043423 0.088592 0.128182 -0.188326 -0.501097 0.081181 
-0.000086 -0.053189 0.011618 -0.000068 -0.044285 0.087508 0.126177 -0.187984 -0.501841 0.072784 
-0.000084 -0.041753 0.000986 -0.000073 -0.044747 0.086409 0.124168 -0.187641 -0.502584 0.064386 
-0.000082 -0.022807 -0.009711 -0.000078 -0.044798 0.085297 0.122157 -0.187298 -0.503327 0.055989 
-0.000081 0.000024 -0.019821 -0.000083 -0.044435 0.084171 0.120143 -0.186954 -0.504069 0.047591 
-0.000079 0.022836 -0.028713 -0.000088 -0.043659 0.083032 0.118126 -0.186610 -0.504811 0.039194 
-0.000077 0.040397 -0.035820 -0.000093 -0.042476 0.081879 0.116106 -0.186265 -0.505552 0.030796 
-0.000075 0.044811 -0.040676 -0.000097 -0.040897 0.080714 0.114083 -0.185919 -0.506293 0.022398 
-0.000074 0.027025 -0.042949 -0.000101 -0.038936 0.079536 0.112058 -0.185573 -0.507034 0.014001 
-0.000072 -0.007735 -0.042472 -0.000104 -0.036614 0.078345 0.110029 -0.185226 -0.507774 0.005603 
-0.000070 -0.038541 -0.039257 -0.000106 -0.033955 0.077142 0.107998 -0.184879 -0.508513 -0.002795 
-0.000068 -0.056271 -0.033503 -0.000108 -0.030987 0.075926 0.105965 -0.184531 -0.509252 -0.011192 
-0.000067 -0.060706 -0.025579 -0.000109 -0.027739 0.074698 0.103929 -0.184183 -0.509991 -0.019590 
-0.000065 -0.053736 -0.016002 -0.000108 -0.024245 0.073459 0.101890 -0.183834 -0.510729 -0.027988 
-0.000063 -0.037574 -0.005397 -0.000107 -0.020540 0.072207 0.099849 -0.183484 -0.511466 -0.036385 
-0.000061 -0.014737 0.005549 -0.000104 -0.016658 0.070944 0.097805 -0.183134 -0.512204 -0.044783 
-0.000060 0.011201 0.016140 -0.000101 -0.012636 0.069670 0.095759 -0.182783 -0.512940 -0.053181 
